# E           ff_avg(e=0)   ff_avg(e=1)   ff_avg(e=2)   ff_avg(e=3)   ff_avg(e=4)   ff_avg(e=5)   ff_avg(e=6)   ff_avg(e=7)   ff_avg(e=8)   ff_avg(e=9) 
1.769697e+00  5.297705e-01  5.254082e-01  5.209753e-01  4.923848e-01  4.879614e-01  4.819005e-01  4.736134e-01  4.822684e-01  4.716674e-01  4.771348e-01
1.781818e+00  5.241206e-01  5.197702e-01  5.153547e-01  4.868531e-01  4.824464e-01  4.764124e-01  4.681662e-01  4.767550e-01  4.662026e-01  4.716425e-01
1.793939e+00  5.185082e-01  5.141695e-01  5.097709e-01  4.813564e-01  4.769662e-01  4.709587e-01  4.627527e-01  4.712759e-01  4.607714e-01  4.661842e-01
1.806061e+00  5.129319e-01  5.086045e-01  5.042228e-01  4.758934e-01  4.715193e-01  4.655380e-01  4.573717e-01  4.658300e-01  4.553726e-01  4.607586e-01
1.818182e+00  5.073903e-01  5.030741e-01  4.987089e-01  4.704627e-01  4.661046e-01  4.601491e-01  4.520219e-01  4.604158e-01  4.500050e-01  4.553644e-01
1.830303e+00  5.018821e-01  4.975769e-01  4.932280e-01  4.650632e-01  4.607208e-01  4.547907e-01  4.467021e-01  4.550322e-01  4.446673e-01  4.500005e-01
1.842424e+00  4.964061e-01  4.921116e-01  4.877788e-01  4.596936e-01  4.553665e-01  4.494615e-01  4.414110e-01  4.496779e-01  4.393582e-01  4.446656e-01
1.854545e+00  4.909610e-01  4.866771e-01  4.823600e-01  4.543526e-01  4.500407e-01  4.441604e-01  4.361475e-01  4.443518e-01  4.340766e-01  4.393584e-01
1.866667e+00  4.855456e-01  4.812720e-01  4.769705e-01  4.490391e-01  4.447422e-01  4.388862e-01  4.309103e-01  4.390526e-01  4.288213e-01  4.340779e-01
1.878788e+00  4.801587e-01  4.758952e-01  4.716090e-01  4.437519e-01  4.394697e-01  4.336377e-01  4.256984e-01  4.337791e-01  4.235912e-01  4.288228e-01
1.890909e+00  4.747991e-01  4.705455e-01  4.662743e-01  4.384899e-01  4.342222e-01  4.284138e-01  4.205106e-01  4.285304e-01  4.183852e-01  4.235921e-01
1.903030e+00  4.694657e-01  4.652218e-01  4.609654e-01  4.332520e-01  4.289985e-01  4.232135e-01  4.153459e-01  4.233051e-01  4.132021e-01  4.183845e-01
1.915152e+00  4.641572e-01  4.599229e-01  4.556811e-01  4.280370e-01  4.237976e-01  4.180355e-01  4.102030e-01  4.181023e-01  4.080409e-01  4.131992e-01
1.927273e+00  4.588727e-01  4.546476e-01  4.504202e-01  4.228439e-01  4.186183e-01  4.128789e-01  4.050811e-01  4.129209e-01  4.029004e-01  4.080349e-01
1.939394e+00  4.536109e-01  4.493950e-01  4.451817e-01  4.176716e-01  4.134596e-01  4.077425e-01  3.999789e-01  4.077598e-01  3.977797e-01  4.028906e-01
1.951515e+00  4.483709e-01  4.441639e-01  4.399646e-01  4.125191e-01  4.083204e-01  4.026254e-01  3.948956e-01  4.026179e-01  3.926778e-01  3.977653e-01
1.963636e+00  4.431515e-01  4.389533e-01  4.347677e-01  4.073853e-01  4.031998e-01  3.975265e-01  3.898300e-01  3.974944e-01  3.875935e-01  3.926580e-01
1.975758e+00  4.379517e-01  4.337621e-01  4.295900e-01  4.022692e-01  3.980967e-01  3.924448e-01  3.847813e-01  3.923881e-01  3.825260e-01  3.875677e-01
1.987879e+00  4.327706e-01  4.285894e-01  4.244306e-01  3.971699e-01  3.930101e-01  3.873794e-01  3.797483e-01  3.872980e-01  3.774743e-01  3.824933e-01
2.000000e+00  4.276070e-01  4.234340e-01  4.192884e-01  3.920863e-01  3.879391e-01  3.823292e-01  3.747302e-01  3.822233e-01  3.724373e-01  3.774341e-01
