# E           ff_avg(e=0)   ff_avg(e=1)   ff_avg(e=2)   ff_avg(e=3)   ff_avg(e=4)   ff_avg(e=5)   ff_avg(e=6)   ff_avg(e=7)   ff_avg(e=8)   ff_avg(e=9) 
1.624242e+00  1.602770e+00  1.587679e+00  1.571833e+00  1.504385e+00  1.485761e+00  1.461002e+00  1.427996e+00  1.407757e+00  1.364722e+00  1.418599e+00
1.636364e+00  1.597734e+00  1.582601e+00  1.566728e+00  1.499262e+00  1.480609e+00  1.455821e+00  1.422787e+00  1.402589e+00  1.359508e+00  1.413428e+00
1.648485e+00  1.592806e+00  1.577631e+00  1.561729e+00  1.494236e+00  1.475553e+00  1.450736e+00  1.417672e+00  1.397515e+00  1.354386e+00  1.408349e+00
1.660606e+00  1.587986e+00  1.572768e+00  1.556837e+00  1.489307e+00  1.470593e+00  1.445746e+00  1.412652e+00  1.392534e+00  1.349356e+00  1.403362e+00
1.672727e+00  1.583275e+00  1.568012e+00  1.552051e+00  1.484476e+00  1.465730e+00  1.440851e+00  1.407727e+00  1.387645e+00  1.344417e+00  1.398467e+00
1.684848e+00  1.578672e+00  1.563363e+00  1.547372e+00  1.479741e+00  1.460964e+00  1.436053e+00  1.402897e+00  1.382851e+00  1.339571e+00  1.393665e+00
1.696970e+00  1.574178e+00  1.558822e+00  1.542799e+00  1.475105e+00  1.456294e+00  1.431350e+00  1.398161e+00  1.378149e+00  1.334816e+00  1.388954e+00
1.709091e+00  1.569792e+00  1.554388e+00  1.538333e+00  1.470566e+00  1.451721e+00  1.426744e+00  1.393521e+00  1.373541e+00  1.330154e+00  1.384336e+00
1.721212e+00  1.565516e+00  1.550062e+00  1.533974e+00  1.466124e+00  1.447245e+00  1.422233e+00  1.388976e+00  1.369026e+00  1.325584e+00  1.379811e+00
1.733333e+00  1.561347e+00  1.545843e+00  1.529721e+00  1.461781e+00  1.442865e+00  1.417818e+00  1.384526e+00  1.364605e+00  1.321106e+00  1.375378e+00
1.745455e+00  1.557288e+00  1.541732e+00  1.525576e+00  1.457535e+00  1.438583e+00  1.413500e+00  1.380172e+00  1.360278e+00  1.316720e+00  1.371037e+00
1.757576e+00  1.553338e+00  1.537729e+00  1.521538e+00  1.453387e+00  1.434398e+00  1.409278e+00  1.375914e+00  1.356044e+00  1.312427e+00  1.366790e+00
1.769697e+00  1.549498e+00  1.533834e+00  1.517607e+00  1.449337e+00  1.430310e+00  1.405152e+00  1.371751e+00  1.351905e+00  1.308227e+00  1.362636e+00
1.781818e+00  1.545767e+00  1.530048e+00  1.513784e+00  1.445386e+00  1.426320e+00  1.401124e+00  1.367684e+00  1.347860e+00  1.304120e+00  1.358575e+00
1.793939e+00  1.542145e+00  1.526370e+00  1.510068e+00  1.441534e+00  1.422428e+00  1.397192e+00  1.363713e+00  1.343910e+00  1.300106e+00  1.354607e+00
1.806061e+00  1.538634e+00  1.522801e+00  1.506461e+00  1.437781e+00  1.418634e+00  1.393358e+00  1.359839e+00  1.340054e+00  1.296186e+00  1.350734e+00
